latitude,longitude,date,name,event_name,day_dif_from_event,distance_from_event_in_km
25.185,-80.641,2015-04-27 10:21:00,146598,ANA4,8 days 13:39:00,230.19436795185706
24.778,-80.743,2015-04-27 23:34:00,146598,ANA4,8 days 00:26:00,272.78663982352737
24.698,-81.008,2015-04-28 10:19:00,146598,ANA4,7 days 13:41:00,295.65708291414086
24.473,-81.677,2015-04-29 14:57:00,146598,ANA4,6 days 09:03:00,358.6034501074041
27.90343,-95.06952,2015-06-12 00:27:00,141586,BILL4,3 days 23:33:00,125.9245432564634
27.88544,-95.06085,2015-06-12 02:17:00,141586,BILL4,3 days 21:43:00,123.81772863116714
27.88533,-94.66832,2015-06-13 00:02:00,141586,BILL4,2 days 23:58:00,104.93948970491533
27.88718,-94.66003,2015-06-13 01:42:00,141586,BILL4,2 days 22:18:00,104.85238241029501
25.86359096,-91.1348062,2015-06-06 00:00:00,"""128784""",BILL4,10 days 00:00:00,339.53496350713755
25.53630297,-91.60865303,2015-06-10 00:00:00,"""128784""",BILL4,6 days 00:00:00,313.8424317926743
25.6099376,-92.31470531,2015-06-11 00:00:00,"""128784""",BILL4,5 days 00:00:00,251.09680664128211
25.52223506,-92.32987952,2015-06-12 00:00:00,"""128784""",BILL4,4 days 00:00:00,256.109096418089
25.84695392,-92.89011054,2015-06-13 00:00:00,"""128784""",BILL4,3 days 00:00:00,190.12571349751906
26.12177341,-93.69367382,2015-06-14 00:00:00,"""128784""",BILL4,2 days 00:00:00,114.77330277083806
26.27752224,-94.3907569,2015-06-15 00:00:00,"""128784""",BILL4,1 days 00:00:00,80.84069441386626
26.28284069,-94.7362518,2015-06-16 00:00:00,"""128784""",BILL4,0 days 00:00:00,90.76961199770008
26.30256522,-94.70567078,2015-06-17 00:00:00,"""128784""",BILL4,1 days 00:00:00,87.40437372721618
26.23241842,-95.15565097,2015-06-18 00:00:00,"""128784""",BILL4,2 days 00:00:00,120.49916193904008
25.75580443,-94.56837658,2015-06-19 00:00:00,"""128784""",BILL4,2 days 00:00:00,140.90758635658474
25.37154443,-94.30131652,2015-06-20 00:00:00,"""128784""",BILL4,1 days 00:00:00,181.07604529587184
24.9545378,-94.2533866,2015-06-21 00:00:00,"""128784""",BILL4,0 days 00:00:00,227.49273362075067
20.79306047,-93.65176326,2014-08-22 00:00:00,"""101199""",DOLLY4,10 days 00:00:00,226.55603835622347
24.455,-82.383,2010-08-10 11:13:00,34029,FIVE,0 days 11:13:00,151.74358880195487
26.408,-82.132,2010-08-11 01:12:00,55494,FIVE,1 days 01:12:00,117.11563456684802
26.246,-82.201,2010-08-11 06:29:00,55494,FIVE,1 days 06:29:00,100.32621273375874
26.356,-81.889,2010-08-11 21:58:00,55494,FIVE,1 days 21:58:00,132.82829708073595
26.16,-82.285,2010-08-13 11:45:00,55494,FIVE,3 days 11:45:00,87.91224144133032
26.27,-81.981,2010-08-17 22:56:00,55494,FIVE,0 days 01:04:00,119.9626818322456
26.02,-82.227,2010-08-03 04:03:00,55495,FIVE,6 days 19:57:00,85.13836742552154
25.981,-82.246,2010-08-04 10:15:00,55495,FIVE,5 days 13:45:00,81.67093482689219
26.181,-82.478,2010-08-06 11:06:00,55495,FIVE,3 days 12:54:00,74.73277307103778
25.964,-82.221,2010-08-07 11:18:00,55495,FIVE,2 days 12:42:00,83.30843979814404
26.312,-82.567,2010-08-09 08:36:00,55495,FIVE,0 days 15:24:00,80.64394692739597
26.135,-82.345,2010-08-10 22:24:00,55495,FIVE,0 days 22:24:00,81.42986449885842
26.088,-82.02,2010-08-12 14:01:00,55495,FIVE,2 days 14:01:00,107.10409719590027
25.743,-82.217,2010-08-13 10:02:00,55495,FIVE,3 days 10:02:00,78.58413897935934
26.328,-82.477,2010-08-14 11:13:00,55495,FIVE,3 days 12:47:00,87.2219390411875
26.154,-82.45,2010-08-15 10:51:00,55495,FIVE,2 days 13:09:00,74.6569111629801
26.212,-82.153,2010-08-16 23:17:00,55495,FIVE,1 days 00:43:00,102.04000992333314
27.8142,-89.5294,2011-08-23 00:38:00,"""2011GoM-Pma-00823""",LEE2,9 days 23:22:00,229.0110811240862
27.8207,-89.5412,2011-08-23 00:44:00,"""2011GoM-Pma-00823""",LEE2,9 days 23:16:00,228.49384889005412
27.8132,-89.5196,2011-08-23 01:30:00,"""2011GoM-Pma-00823""",LEE2,9 days 22:30:00,229.72992401973343
